"Sort_ID","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Checker","Country","Region","Site_name","Site_ID","Paper_year","Study_midyear","YearsOfData","Annual_coverage","Latitude","Longitude","Elevation","MAT","MAP","MPET","Study_temp","Study_precip","Manipulation","Manipulation_level","Manipulation_age","IGBP.x","Ecosystem_age","Species","Leaf_habit","Ecosystem_state","LAI","Soil_family","Soil_texture","Soil_sand","Soil_silt","Soil_clay","Soil_rock","Soil_depth","Soil_BD","Soil_pH","Soil_SAR","Soil_SOC","Soil_C_stock","Soil_N","Soil_CN","Crust","Ksat","E","I30","EI30_R","K","L","Slope","Plant_cover_C","P","Meas_method","Field_scale","Field_area","Measure_time","Measure_interval","Replication","ER_annual_paper","ER_annual_units","Convertor","ER_annual","ER_Sedt_se","ER_Sedt_sd","ER_max","ER_maxday","Sediment_annual","Runoff_annual","Runoff_se","Runoff_sd","Runoff_max","Runoff_max_day","Leaching","Leaching_unit","Leaching_type","Data_source","Notes","Comments1","Comments2","Comment3","X","X.1","X.2","Tannual_del","Pannual_del","Latitude2","Longitude2","IGBP.y","Ecosystem","IGBP_group","barren_yn","ClimateTypes","MiddleClimate","Ecosystem2","MAT_Del","MAP_Del","IGBP","Soil_Group","Meas_method_group"
1547,"2020-11-23",248,"Lal",NA,"Q0","DE","JJ","Nigeria","Ibadan","","NE-IB-NA7",1976,1964,4,1,7.38,3.95,NA,NA,1010,NA,NA,NA,"Conventional","Conventional Tillage","","CRO",NA,"","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"3.55","t/ha/a",1,3.55,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","232","","",NA,NA,NA,26.6833333333333,1308.4,7.25,3.75,"WSA","Savanna","GRA",0,"Aw","A","Savanna",26.99,1287.85,"CRO","OTH","Runoff plot"
1548,"2020-11-23",248,"Lal",NA,"Q0","DE","JJ","Nigeria","Ibadan","","NE-IB-NA8",1976,1964,2,1,7.38,3.95,NA,NA,1010,NA,NA,NA,"Bare","Bare Soil ","","BSV",NA,"","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"8","t/ha/a",1,8,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","232","","",NA,NA,NA,26.6833333333333,1308.4,7.25,3.75,"WSA","Savanna","GRA",0,"Aw","A","Savanna",26.99,1287.85,"BSV","OTH","Runoff plot"
1549,"2020-11-23",248,"Lal",NA,"Q0","DE","JJ","Nigeria","Ibadan","","NE-IB-NA9",1976,1964,4,1,7.38,3.95,NA,NA,1010,NA,NA,NA,"Conventional","Conventional Tillage","","CRO",NA,"","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"13.05","t/ha/a",1,13.05,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","232","","",NA,NA,NA,26.6833333333333,1308.4,7.25,3.75,"WSA","Savanna","GRA",0,"Aw","A","Savanna",26.99,1287.85,"CRO","OTH","Runoff plot"
1550,"2020-11-23",248,"Lal",NA,"Q0","DE","JJ","Nigeria","Ibadan","","NE-IB-NA10",1976,1964,2,1,7.38,3.95,NA,NA,1010,NA,NA,NA,"Bare","Bare Soil ","","BSV",NA,"","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"100","t/ha/a",1,100,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","232","","",NA,NA,NA,26.6833333333333,1308.4,7.25,3.75,"WSA","Savanna","GRA",0,"Aw","A","Savanna",26.99,1287.85,"BSV","OTH","Runoff plot"
1551,"2020-11-23",248,"Lal",NA,"Q0","DE","JJ","Nigeria","Ibadan","","NE-IB-NA11",1976,1964,2,1,7.38,3.95,NA,NA,1010,NA,NA,NA,"Bare","Bare Soil ","","BSV",NA,"","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"146","t/ha/a",1,146,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","232","","",NA,NA,NA,26.6833333333333,1308.4,7.25,3.75,"WSA","Savanna","GRA",0,"Aw","A","Savanna",26.99,1287.85,"BSV","OTH","Runoff plot"
1552,"2020-11-23",248,"Lal",NA,"Q0","DE","JJ","Nigeria","Ibadan","","NE-IB-NA12",1976,1964,2,1,7.38,3.95,NA,NA,1010,NA,NA,NA,"Bare","Bare Soil ","","BSV",NA,"","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"173","t/ha/a",1,173,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","232","","",NA,NA,NA,26.6833333333333,1308.4,7.25,3.75,"WSA","Savanna","GRA",0,"Aw","A","Savanna",26.99,1287.85,"BSV","OTH","Runoff plot"
1553,"2020-11-23",249,"Rhensburg",NA,"Q0","DE","JJ","Tanzania","Mpwapwa","","TZ-MP-NA1",1955,1943,8,1,-6.35,36.49,NA,NA,690,NA,NA,NA,"Conservation ","Grassland","","GRA",NA,"","","",NA,"","Loam",NA,NA,NA,NA,"",1.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"0.7","t/ha/a",1,0.7,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","233","","",NA,NA,NA,23.2,369.4,-6.25,36.25,"SAV","Savanna","GRA",0,"BSh","B","Savanna",23.38,603.99,"GRA","L","Runoff plot"
1554,"2020-11-23",249,"Rhensburg",NA,"Q0","DE","JJ","Tanzania","Mpwapwa","","TZ-MP-NA2",1955,1943,8,1,-6.35,36.49,NA,NA,690,NA,NA,NA,"Conservation ","Contour Cultivation","","CRO",NA,"","","",NA,"","Loam",NA,NA,NA,NA,"",1.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"30","t/ha/a",1,30,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","233","","",NA,NA,NA,23.2,369.4,-6.25,36.25,"SAV","Savanna","GRA",0,"BSh","B","Savanna",23.38,603.99,"CRO","L","Runoff plot"
1555,"2020-11-23",249,"Rhensburg",NA,"Q0","DE","JJ","Tanzania","Mpwapwa","","TZ-MP-NA3",1955,1943,8,1,-6.35,36.49,NA,NA,690,NA,NA,NA,"Conventional","Crop","","CRO",NA,"","","",NA,"","Loam",NA,NA,NA,NA,"",1.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"55","t/ha/a",1,55,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","233","","",NA,NA,NA,23.2,369.4,-6.25,36.25,"SAV","Savanna","GRA",0,"BSh","B","Savanna",23.38,603.99,"CRO","L","Runoff plot"
1556,"2020-11-23",250,"Hudson and Jackson",NA,"Q0","DE","JJ","Zimbabwe","Henderson Research Station","","ZW-HRS-NA1",1959,1947,6,1,-17.57,30.97,NA,NA,700,NA,NA,NA,"Conservation ","Grassland","","GRA",NA,"","","",NA,"","Clay Loam",NA,NA,NA,NA,"",1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"1.2","t/ha/a",1,1.2,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","234","","",NA,NA,NA,19.0833333333333,639.3,-17.75,30.75,"SAV","Savanna","GRA",0,"Cwb","Cw","Savanna",18.64,842.04,"GRA","CL","Runoff plot"
1557,"2020-11-23",250,"Hudson and Jackson",NA,"Q0","DE","JJ","Zimbabwe","Henderson Research Station","","ZW-HRS-NA2",1959,1947,6,1,-17.57,30.97,NA,NA,700,NA,NA,NA,"Conservation ","Grassland","","GRA",NA,"","","",NA,"","Clay Loam",NA,NA,NA,NA,"",1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"0.5","t/ha/a",1,0.5,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","234","","",NA,NA,NA,19.0833333333333,639.3,-17.75,30.75,"SAV","Savanna","GRA",0,"Cwb","Cw","Savanna",18.64,842.04,"GRA","CL","Runoff plot"
1558,"2020-11-23",250,"Hudson and Jackson",NA,"Q0","DE","JJ","Zimbabwe","Henderson Research Station","","ZW-HRS-NA3",1959,1947,12,1,-17.57,30.97,NA,NA,700,NA,NA,NA,"Conventional","Crop (Maize)","","CRO",NA,"Maize","","",NA,"","Clay Loam",NA,NA,NA,NA,"",1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"6","t/ha/a",1,6,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","234","","",NA,NA,NA,19.0833333333333,639.3,-17.75,30.75,"SAV","Savanna","GRA",0,"Cwb","Cw","Savanna",18.64,842.04,"CRO","CL","Runoff plot"
1559,"2020-11-23",250,"Hudson and Jackson",NA,"Q0","DE","JJ","Zimbabwe","Henderson Research Station","","ZW-HRS-NA4",1959,1947,6,1,-17.57,30.97,NA,NA,700,NA,NA,NA,"Conventional","Crop (Maize)","","CRO",NA,"Maize","","",NA,"","Clay Loam",NA,NA,NA,NA,"",1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"7","t/ha/a",1,7,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","234","","",NA,NA,NA,19.0833333333333,639.3,-17.75,30.75,"SAV","Savanna","GRA",0,"Cwb","Cw","Savanna",18.64,842.04,"CRO","CL","Runoff plot"
1560,"2020-11-23",250,"Hudson and Jackson",NA,"Q0","DE","JJ","Zimbabwe","Henderson Research Station","","ZW-HRS-NA5",1959,1947,12,1,-17.57,30.97,NA,NA,700,NA,NA,NA,"Conventional","Crop (Maize)","","CRO",NA,"Maize","","",NA,"","Clay Loam",NA,NA,NA,NA,"",1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"14.5","t/ha/a",1,14.5,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","234","","",NA,NA,NA,19.0833333333333,639.3,-17.75,30.75,"SAV","Savanna","GRA",0,"Cwb","Cw","Savanna",18.64,842.04,"CRO","CL","Runoff plot"
1561,"2020-11-23",250,"Hudson and Jackson",NA,"Q0","DE","JJ","Zimbabwe","Henderson Research Station","","ZW-HRS-NA6",1959,1947,6,1,-17.57,30.97,NA,NA,700,NA,NA,NA,"Conservation ","Grassland","","GRA",NA,"","","",NA,"","Clay Loam",NA,NA,NA,NA,"",1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"1","t/ha/a",1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","234","","",NA,NA,NA,19.0833333333333,639.3,-17.75,30.75,"SAV","Savanna","GRA",0,"Cwb","Cw","Savanna",18.64,842.04,"GRA","CL","Runoff plot"
1562,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA1",1960,1948,130,1,-25.74,28.23,NA,NA,721,NA,NA,NA,"Conservation ","Grassland","","GRA",NA,"","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.148591732,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"0.48","t/ha/a",1,0.48,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"GRA","SL","Runoff plot"
1563,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA2",1960,1948,105,1,-25.74,28.23,NA,NA,737,NA,NA,NA,"Conservation ","Grassland","","GRA",NA,"","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.010704566,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"0.46","t/ha/a",1,0.46,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"GRA","SL","Runoff plot"
1564,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA3",1960,1948,26,1,-25.74,28.23,NA,NA,721,NA,NA,NA,"Conventional","Crop (Teff)","","CRO",NA,"","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.148591732,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"5.5","t/ha/a",1,5.5,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"CRO","SL","Runoff plot"
1565,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA4",1960,1948,26,1,-25.74,28.23,NA,NA,721,NA,NA,NA,"Conventional","Crop (Hay)","","CRO",NA,"Hay","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.148591732,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"7.3","t/ha/a",1,7.3,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"CRO","SL","Runoff plot"
1566,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA5",1960,1948,104,1,-25.74,28.23,NA,NA,721,NA,NA,NA,"Bare","Bare Soil","","BSV",NA,"","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.148591732,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"8.375","t/ha/a",1,8.375,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"BSV","SL","Runoff plot"
1567,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA6",1960,1948,52,1,-25.74,28.23,NA,NA,721,NA,NA,NA,"Conventional","Crop (Maize)","","CRO",NA,"Maize","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.148591732,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"9.75","t/ha/a",1,9.75,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"CRO","SL","Runoff plot"
1568,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA7",1960,1948,21,1,-25.74,28.23,NA,NA,737,NA,NA,NA,"Conventional","Crop (Teff)","","CRO",NA,"","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.010704566,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"15.1","t/ha/a",1,15.1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"CRO","SL","Runoff plot"
1569,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA8",1960,1948,21,1,-25.74,28.23,NA,NA,737,NA,NA,NA,"Conventional","Crop (Maize, Teff and Babala Rotation)","","CRO",NA,"Maize, Teff and Babala","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.010704566,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"16.7","t/ha/a",1,16.7,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"CRO","SL","Runoff plot"
1570,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA9",1960,1948,21,1,-25.74,28.23,NA,NA,737,NA,NA,NA,"Conventional","Crop (Babala)","","OCD",NA,"Babala","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.010704566,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"17","t/ha/a",1,17,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"OCD","SL","Runoff plot"
1571,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA10",1960,1948,63,1,-25.74,28.23,NA,NA,737,NA,NA,NA,"Conventional","Crop (Maize)","","CRO",NA,"Maize","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.010704566,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"24.33333333","t/ha/a",1,24.33333333,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"CRO","SL","Runoff plot"
1572,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA11",1960,1948,63,1,-25.74,28.23,NA,NA,737,NA,NA,NA,"Bare","Bare Soil","","BSV",NA,"","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.010704566,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"28.36666667","t/ha/a",1,28.36666667,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"BSV","SL","Runoff plot"
1573,"2020-11-23",251,"Haylett",NA,"Q0","DE","JJ","South Africa","Pretoria","","ZA-PR-NA12",1960,1948,21,1,-25.74,28.23,NA,NA,737,NA,NA,NA,"Bare","Bare Soil ","","BSV",NA,"","","",NA,"","Sandy Loam",NA,NA,NA,NA,"",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.010704566,NA,NA,"Runoff plot","Runoff plot",NA,"",NA,NA,"38.4","t/ha/a",1,38.4,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","From Evans et al 2020 ERL","235","","",NA,NA,NA,17.6583333333333,662.5,-25.75,28.25,"URB","Urban","URB",0,"Cwa","Cw","Urban",17.92,695.8,"BSV","SL","Runoff plot"
1574,"2020-11-23",252,"Rao et al.",NA,"Q0","DE","JJ","India","Patancheru","ICRISAT Centre","IN-PT-UM1",1991,1987,1,1,18,78,540,NA,765,NA,NA,NA,"Conventional","Unmulching","","CRO",NA,"Groundnut","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1.14591559,NA,NA,"Runoff plot","Runoff plot",66,"",NA,NA,"0.45","t/ha/a",1,0.45,NA,NA,NA,"",NA,44,NA,NA,NA,"",NA,"","","Table 6","From Evans et al 2020 ERL","236","","",NA,NA,NA,27.3,1177.4,17.75,77.75,"CRO","Agriculture","CRO",0,"Aw","A","Agriculture",26.5,979.56,"CRO","OTH","Runoff plot"
1575,"2020-11-23",252,"Rao et al.",NA,"Q0","DE","JJ","India","Patancheru","ICRISAT Centre","IN-PT-UM2",1991,1987,1,1,18,78,540,NA,765,NA,NA,NA,"Conventional","Unmulching, alley cropping (5.4m)","","CRO",NA,"Leucaena","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,1.14591559,NA,NA,"Runoff plot","Runoff plot",171.6,"",NA,NA,"0.33","t/ha/a",1,0.33,NA,NA,NA,"",NA,30,NA,NA,NA,"",NA,"","","Table 6","From Evans et al 2020 ERL","236","","",NA,NA,NA,27.3,1177.4,17.75,77.75,"CRO","Agriculture","CRO",0,"Aw","A","Agriculture",26.5,979.56,"CRO","OTH","Runoff plot"
1576,"2020-11-23",252,"Rao et al.",NA,"Q0","DE","JJ","India","Patancheru","ICRISAT Centre","IN-PT-UM3",1991,1987,1,1,18,78,540,NA,765,NA,NA,NA,"Conventional","Unmulching, alley cropping (3m)","","CRO",NA,"Groundnut","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,1.14591559,NA,NA,"Runoff plot","Runoff plot",171.6,"",NA,NA,"0.22","t/ha/a",1,0.22,NA,NA,NA,"",NA,20,NA,NA,NA,"",NA,"","","Table 6","From Evans et al 2020 ERL","236","","",NA,NA,NA,27.3,1177.4,17.75,77.75,"CRO","Agriculture","CRO",0,"Aw","A","Agriculture",26.5,979.56,"CRO","OTH","Runoff plot"
1577,"2020-11-23",252,"Rao et al.",NA,"Q0","DE","JJ","India","Patancheru","ICRISAT Centre","IN-PT-UM4",1991,1987,1,1,18,78,540,NA,765,NA,NA,NA,"Conventional","Unmulching","","CRO",NA,"Leucaena","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1.14591559,NA,NA,"Runoff plot","Runoff plot",110,"",NA,NA,"0.1","t/ha/a",1,0.1,NA,NA,NA,"",NA,9,NA,NA,NA,"",NA,"","","Table 6","From Evans et al 2020 ERL","236","","",NA,NA,NA,27.3,1177.4,17.75,77.75,"CRO","Agriculture","CRO",0,"Aw","A","Agriculture",26.5,979.56,"CRO","OTH","Runoff plot"
1578,"2020-11-23",252,"Rao et al.",NA,"Q0","DE","JJ","India","Patancheru","ICRISAT Centre","IN-PT-M1",1991,1987,1,1,18,78,540,NA,765,NA,NA,NA,"Conservation ","Mulching ","","CRO",NA,"Groundnut","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1.14591559,NA,NA,"Runoff plot","Runoff plot",66,"",NA,NA,"0.22","t/ha/a",1,0.22,NA,NA,NA,"",NA,6,NA,NA,NA,"",NA,"","","Table 6","From Evans et al 2020 ERL","236","","",NA,NA,NA,27.3,1177.4,17.75,77.75,"CRO","Agriculture","CRO",0,"Aw","A","Agriculture",26.5,979.56,"CRO","OTH","Runoff plot"
1579,"2020-11-23",252,"Rao et al.",NA,"Q0","DE","JJ","India","Patancheru","ICRISAT Centre","IN-PT-M2",1991,1987,1,1,18,78,540,NA,765,NA,NA,NA,"Conservation ","Mulching, alley cropping (5.4m)","","CRO",NA,"Leucaena","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,1.14591559,NA,NA,"Runoff plot","Runoff plot",171.6,"",NA,NA,"0.1","t/ha/a",1,0.1,NA,NA,NA,"",NA,3,NA,NA,NA,"",NA,"","","Table 6","From Evans et al 2020 ERL","236","","",NA,NA,NA,27.3,1177.4,17.75,77.75,"CRO","Agriculture","CRO",0,"Aw","A","Agriculture",26.5,979.56,"CRO","OTH","Runoff plot"
1580,"2020-11-23",252,"Rao et al.",NA,"Q0","DE","JJ","India","Patancheru","ICRISAT Centre","IN-PT-M3",1991,1987,1,1,18,78,540,NA,765,NA,NA,NA,"Conservation ","Mulching, alley cropping (3m)","","CRO",NA,"Groundnut","","",NA,"Alfisol","",NA,NA,NA,NA,"",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,1.14591559,NA,NA,"Runoff plot","Runoff plot",171.6,"",NA,NA,"0.06","t/ha/a",1,0.06,NA,NA,NA,"",NA,1,NA,NA,NA,"",NA,"","","Table 6","From Evans et al 2020 ERL","236","","",NA,NA,NA,27.3,1177.4,17.75,77.75,"CRO","Agriculture","CRO",0,"Aw","A","Agriculture",26.5,979.56,"CRO","OTH","Runoff plot"
